英雄,内部名称
亚巴顿,npc_dota_hero_abaddon
炼金术士,npc_dota_hero_alchemist
敌法师,npc_dota_hero_antimage
远古冰魄,npc_dota_hero_ancient_apparition
天穹守望者,npc_dota_hero_arc_warden
斧王,npc_dota_hero_axe
祸乱之源,npc_dota_hero_bane
蝙蝠骑士,npc_dota_hero_batrider
兽王,npc_dota_hero_beastmaster
血魔,npc_dota_hero_bloodseeker
赏金猎人,npc_dota_hero_bounty_hunter
酒仙,npc_dota_hero_brewmaster
钢背兽,npc_dota_hero_bristleback
育母蜘蛛,npc_dota_hero_broodmother
半人马战行者,npc_dota_hero_centaur
混沌骑士,npc_dota_hero_chaos_knight
陈,npc_dota_hero_chen
克林克兹,npc_dota_hero_clinkz
发条技师,npc_dota_hero_rattletrap
水晶室女,npc_dota_hero_crystal_maiden
黑暗贤者,npc_dota_hero_dark_seer
邪影芳灵,npc_dota_hero_dark_willow
戴泽,npc_dota_hero_dazzle
死亡先知,npc_dota_hero_death_prophet
干扰者,npc_dota_hero_disruptor
末日使者,npc_dota_hero_doom_bringer
龙骑士,npc_dota_hero_dragon_knight
卓尔游侠,npc_dota_hero_drow_ranger
大地之灵,npc_dota_hero_earth_spirit
撼地者,npc_dota_hero_earthshaker
上古巨神,npc_dota_hero_elder_titan
灰烬之灵,npc_dota_hero_ember_spirit
魅惑魔女,npc_dota_hero_enchantress
谜团,npc_dota_hero_enigma
虚空假面,npc_dota_hero_faceless_void
矮人直升机,npc_dota_hero_gyrocopter
哈斯卡,npc_dota_hero_huskar
祈求者,npc_dota_hero_invoker
艾欧,npc_dota_hero_wisp
杰奇洛,npc_dota_hero_jakiro
主宰,npc_dota_hero_juggernaut
光之守卫,npc_dota_hero_keeper_of_the_light
昆卡,npc_dota_hero_kunkka
军团指挥官,npc_dota_hero_legion_commander
拉席克,npc_dota_hero_leshrac
巫妖,npc_dota_hero_lich
噬魂鬼,npc_dota_hero_life_stealer
莉娜,npc_dota_hero_lina
莱恩,npc_dota_hero_lion
德鲁伊,npc_dota_hero_lone_druid
露娜,npc_dota_hero_luna
狼人,npc_dota_hero_lycan
马格纳斯,npc_dota_hero_magnataur
美杜莎,npc_dota_hero_medusa
米波,npc_dota_hero_meepo
米拉娜,npc_dota_hero_mirana
变体精灵,npc_dota_hero_morphling
齐天大圣,npc_dota_hero_monkey_king
娜迦海妖,npc_dota_hero_naga_siren
先知,npc_dota_hero_furion
瘟疫法师,npc_dota_hero_necrolyte
暗夜魔王,npc_dota_hero_night_stalker
司夜刺客,npc_dota_hero_nyx_assassin
食人魔魔法师,npc_dota_hero_ogre_magi
全能骑士,npc_dota_hero_omniknight
神谕者,npc_dota_hero_oracle
殁境神蚀者,npc_dota_hero_obsidian_destroyer
石鳞剑士,npc_dota_hero_pangolier
幻影刺客,npc_dota_hero_phantom_assassin
幻影长矛手,npc_dota_hero_phantom_lancer
凤凰,npc_dota_hero_phoenix
帕克,npc_dota_hero_puck
帕吉,npc_dota_hero_pudge
帕格纳,npc_dota_hero_pugna
痛苦女王,npc_dota_hero_queenofpain
剃刀,npc_dota_hero_razor
力丸,npc_dota_hero_riki
拉比克,npc_dota_hero_rubick
沙王,npc_dota_hero_sand_king
暗影恶魔,npc_dota_hero_shadow_demon
影魔,npc_dota_hero_nevermore
暗影萨满,npc_dota_hero_shadow_shaman
沉默术士,npc_dota_hero_silencer
天怒法师,npc_dota_hero_skywrath_mage
斯拉达,npc_dota_hero_slardar
斯拉克,npc_dota_hero_slark
狙击手,npc_dota_hero_sniper
幽鬼,npc_dota_hero_spectre
裂魂人,npc_dota_hero_spirit_breaker
风暴之灵,npc_dota_hero_storm_spirit
斯温,npc_dota_hero_sven
工程师,npc_dota_hero_techies
圣堂刺客,npc_dota_hero_templar_assassin
恐怖利刃,npc_dota_hero_terrorblade
潮汐猎人,npc_dota_hero_tidehunter
伐木机,npc_dota_hero_shredder
修补匠,npc_dota_hero_tinker
小强,npc_dota_hero_tiny
树精卫士,npc_dota_hero_treant
巨魔战将,npc_dota_hero_troll_warlord
巨牙海民,npc_dota_hero_tusk
孽主,npc_dota_hero_abyssal_underlord
不朽尸王,npc_dota_hero_undying
熊战士,npc_dota_hero_ursa
复仇之魂,npc_dota_hero_vengefulspirit
剧毒术士,npc_dota_hero_venomancer
冥界亚龙,npc_dota_hero_viper
维萨吉,npc_dota_hero_visage
术士,npc_dota_hero_warlock
编织者,npc_dota_hero_weaver
风行者,npc_dota_hero_windrunner
寒冬飞龙,npc_dota_hero_winter_wyvern
巫医,npc_dota_hero_witch_doctor
冥魂大帝,npc_dota_hero_skeleton_king
宙斯,npc_dota_hero_zuus
